first_nneurons,second_nneurons,act_fcn,lr,dropout,batch_norm,batch_size,num_epochs,acc,out_percent,home_percent,sleep_percent
6,5,tanh,0.0001,0,True,1,100,0.3469387755102041,0.1,0.47619047619047616,0.3333333333333333
6,5,tanh,0.0001,0,True,1,200,0.30612244897959184,0.0,0.3333333333333333,0.4444444444444444
6,5,tanh,0.0001,0,True,1,400,0.40816326530612246,0.5,0.14285714285714285,0.6666666666666666
6,5,tanh,0.0001,0,True,5,25,0.2857142857142857,0.2,0.38095238095238093,0.2222222222222222
6,5,tanh,0.0001,0,True,5,50,0.6530612244897959,1.0,0.2857142857142857,0.8888888888888888
6,5,tanh,0.0001,0,True,5,100,0.673469387755102,0.7,0.47619047619047616,0.8888888888888888
6,5,tanh,0.0001,0,True,5,200,0.6938775510204082,0.9,0.38095238095238093,0.9444444444444444
6,5,tanh,0.0001,0,True,5,400,0.7959183673469388,0.9,0.6666666666666666,0.8888888888888888
6,5,tanh,0.0001,0,True,47,25,0.4489795918367347,0.1,0.5238095238095238,0.5555555555555556
6,5,tanh,0.0001,0,True,47,50,0.6530612244897959,0.4,0.7142857142857143,0.7222222222222222
6,5,tanh,0.0001,0,True,47,100,0.6938775510204082,0.6,0.5238095238095238,0.9444444444444444
6,5,tanh,0.0001,0,True,47,200,0.6122448979591837,0.7,0.47619047619047616,0.7222222222222222
6,5,tanh,0.0001,0,True,47,400,0.5714285714285714,0.9,0.09523809523809523,0.9444444444444444
6,5,tanh,0.0001,0,False,1,25,0.6938775510204082,0.8,0.47619047619047616,0.8888888888888888
6,5,tanh,0.0001,0,False,1,50,0.6530612244897959,1.0,0.23809523809523808,0.9444444444444444
6,5,tanh,0.0001,0,False,1,100,0.7142857142857143,0.8,0.47619047619047616,0.9444444444444444
6,5,tanh,0.0001,0,False,1,200,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.0001,0,False,1,400,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
6,5,tanh,0.0001,0,False,5,25,0.5714285714285714,0.1,0.47619047619047616,0.9444444444444444
6,5,tanh,0.0001,0,False,5,50,0.5918367346938775,0.8,0.2857142857142857,0.8333333333333334
6,5,tanh,0.0001,0,False,5,100,0.6938775510204082,1.0,0.3333333333333333,0.9444444444444444
6,5,tanh,0.0001,0,False,5,200,0.6938775510204082,1.0,0.38095238095238093,0.8888888888888888
6,5,tanh,0.0001,0,False,5,400,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
6,5,tanh,0.0001,0,False,47,25,0.3673469387755102,0.1,0.5714285714285714,0.2777777777777778
6,5,tanh,0.0001,0,False,47,50,0.40816326530612246,0.2,0.42857142857142855,0.5
6,5,tanh,0.0001,0,False,47,100,0.4897959183673469,0.3,0.5238095238095238,0.5555555555555556
6,5,tanh,0.0001,0,False,47,200,0.6530612244897959,0.4,0.5714285714285714,0.8888888888888888
6,5,tanh,0.0001,0,False,47,400,0.6938775510204082,1.0,0.3333333333333333,0.9444444444444444
6,5,tanh,0.0001,0.125,True,1,25,0.12244897959183673,0.3,0.047619047619047616,0.1111111111111111
6,5,tanh,0.0001,0.125,True,1,50,0.5918367346938775,0.7,0.47619047619047616,0.6666666666666666
6,5,tanh,0.0001,0.125,True,1,100,0.2653061224489796,0.6,0.2857142857142857,0.05555555555555555
6,5,tanh,0.0001,0.125,True,1,200,0.3673469387755102,0.0,0.2857142857142857,0.6666666666666666
6,5,tanh,0.0001,0.125,True,1,400,0.32653061224489793,0.4,0.2857142857142857,0.3333333333333333
6,5,tanh,0.0001,0.125,True,5,25,0.5102040816326531,0.8,0.23809523809523808,0.6666666666666666
6,5,tanh,0.0001,0.125,True,5,50,0.2857142857142857,0.4,0.14285714285714285,0.3888888888888889
6,5,tanh,0.0001,0.125,True,5,100,0.5918367346938775,0.7,0.38095238095238093,0.7777777777777778
6,5,tanh,0.0001,0.125,True,5,200,0.7142857142857143,0.8,0.47619047619047616,0.9444444444444444
6,5,tanh,0.0001,0.125,True,5,400,0.7142857142857143,0.9,0.47619047619047616,0.8888888888888888
6,5,tanh,0.0001,0.125,True,47,25,0.4897959183673469,0.1,0.5714285714285714,0.6111111111111112
6,5,tanh,0.0001,0.125,True,47,50,0.42857142857142855,0.5,0.47619047619047616,0.3333333333333333
6,5,tanh,0.0001,0.125,True,47,100,0.40816326530612246,0.4,0.5238095238095238,0.2777777777777778
6,5,tanh,0.0001,0.125,True,47,200,0.5306122448979592,0.4,0.38095238095238093,0.7777777777777778
6,5,tanh,0.0001,0.125,True,47,400,0.6530612244897959,0.8,0.3333333333333333,0.9444444444444444
6,5,tanh,0.0001,0.125,False,1,25,0.6530612244897959,0.8,0.3333333333333333,0.9444444444444444
6,5,tanh,0.0001,0.125,False,1,50,0.6938775510204082,0.9,0.42857142857142855,0.8888888888888888
6,5,tanh,0.0001,0.125,False,1,100,0.7959183673469388,0.8,0.6666666666666666,0.9444444444444444
6,5,tanh,0.0001,0.125,False,1,200,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.0001,0.125,False,1,400,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.0001,0.125,False,5,25,0.4897959183673469,0.8,0.19047619047619047,0.6666666666666666
6,5,tanh,0.0001,0.125,False,5,50,0.5918367346938775,0.7,0.5238095238095238,0.6111111111111112
6,5,tanh,0.0001,0.125,False,5,100,0.5918367346938775,1.0,0.19047619047619047,0.8333333333333334
6,5,tanh,0.0001,0.125,False,5,200,0.7959183673469388,1.0,0.5714285714285714,0.9444444444444444
6,5,tanh,0.0001,0.125,False,5,400,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
6,5,tanh,0.0001,0.125,False,47,25,0.5510204081632653,0.7,0.38095238095238093,0.6666666666666666
6,5,tanh,0.0001,0.125,False,47,50,0.42857142857142855,0.2,0.42857142857142855,0.5555555555555556
6,5,tanh,0.0001,0.125,False,47,100,0.5306122448979592,0.6,0.19047619047619047,0.8888888888888888
6,5,tanh,0.0001,0.125,False,47,200,0.5306122448979592,0.7,0.42857142857142855,0.5555555555555556
6,5,tanh,0.0001,0.125,False,47,400,0.7755102040816326,0.9,0.5238095238095238,1.0
6,5,tanh,0.0001,0.5,True,1,25,0.32653061224489793,0.0,0.42857142857142855,0.3888888888888889
6,5,tanh,0.0001,0.5,True,1,50,0.1836734693877551,0.0,0.3333333333333333,0.1111111111111111
6,5,tanh,0.0001,0.5,True,1,100,0.2653061224489796,0.1,0.09523809523809523,0.5555555555555556
6,5,tanh,0.0001,0.5,True,1,200,0.24489795918367346,0.0,0.3333333333333333,0.2777777777777778
6,5,tanh,0.0001,0.5,True,1,400,0.2857142857142857,0.1,0.19047619047619047,0.5
6,5,tanh,0.0001,0.5,True,5,25,0.2857142857142857,0.2,0.2857142857142857,0.3333333333333333
6,5,tanh,0.0001,0.5,True,5,50,0.6938775510204082,1.0,0.5238095238095238,0.7222222222222222
6,5,tanh,0.0001,0.5,True,5,100,0.5306122448979592,0.6,0.19047619047619047,0.8888888888888888
6,5,tanh,0.0001,0.5,True,5,200,0.6530612244897959,1.0,0.2857142857142857,0.8888888888888888
6,5,tanh,0.0001,0.5,True,5,400,0.7551020408163265,0.9,0.5238095238095238,0.9444444444444444
6,5,tanh,0.0001,0.5,True,47,25,0.24489795918367346,0.1,0.5238095238095238,0.0
6,5,tanh,0.0001,0.5,True,47,50,0.2857142857142857,0.1,0.38095238095238093,0.2777777777777778
6,5,tanh,0.0001,0.5,True,47,100,0.30612244897959184,0.1,0.5238095238095238,0.16666666666666666
6,5,tanh,0.0001,0.5,True,47,200,0.4489795918367347,0.8,0.38095238095238093,0.3333333333333333
6,5,tanh,0.0001,0.5,True,47,400,0.6938775510204082,0.8,0.5238095238095238,0.8333333333333334
6,5,tanh,0.0001,0.5,False,1,25,0.5306122448979592,0.2,0.3333333333333333,0.9444444444444444
6,5,tanh,0.0001,0.5,False,1,50,0.6326530612244898,0.4,0.5714285714285714,0.8333333333333334
6,5,tanh,0.0001,0.5,False,1,100,0.6530612244897959,0.8,0.3333333333333333,0.9444444444444444
6,5,tanh,0.0001,0.5,False,1,200,0.673469387755102,0.9,0.3333333333333333,0.9444444444444444
6,5,tanh,0.0001,0.5,False,1,400,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
6,5,tanh,0.0001,0.5,False,5,25,0.3877551020408163,0.4,0.23809523809523808,0.5555555555555556
6,5,tanh,0.0001,0.5,False,5,50,0.5918367346938775,0.8,0.42857142857142855,0.6666666666666666
6,5,tanh,0.0001,0.5,False,5,100,0.5918367346938775,0.8,0.23809523809523808,0.8888888888888888
6,5,tanh,0.0001,0.5,False,5,200,0.6530612244897959,0.8,0.3333333333333333,0.9444444444444444
6,5,tanh,0.0001,0.5,False,5,400,0.6938775510204082,0.9,0.38095238095238093,0.9444444444444444
6,5,tanh,0.0001,0.5,False,47,25,0.3469387755102041,0.2,0.38095238095238093,0.3888888888888889
6,5,tanh,0.0001,0.5,False,47,50,0.42857142857142855,0.2,0.6666666666666666,0.2777777777777778
6,5,tanh,0.0001,0.5,False,47,100,0.4489795918367347,0.3,0.5238095238095238,0.4444444444444444
6,5,tanh,0.0001,0.5,False,47,200,0.5306122448979592,1.0,0.23809523809523808,0.6111111111111112
6,5,tanh,0.0001,0.5,False,47,400,0.4489795918367347,0.2,0.5714285714285714,0.4444444444444444
6,5,tanh,0.001,0,True,1,25,0.30612244897959184,0.9,0.2857142857142857,0.0
6,5,tanh,0.001,0,True,1,50,0.30612244897959184,0.5,0.14285714285714285,0.3888888888888889
6,5,tanh,0.001,0,True,1,100,0.1836734693877551,0.0,0.38095238095238093,0.05555555555555555
6,5,tanh,0.001,0,True,1,200,0.46938775510204084,0.2,0.6190476190476191,0.4444444444444444
6,5,tanh,0.001,0,True,1,400,0.7346938775510204,0.2,0.8095238095238095,0.9444444444444444
6,5,tanh,0.001,0,True,5,25,0.8163265306122449,0.9,0.7142857142857143,0.8888888888888888
6,5,tanh,0.001,0,True,5,50,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
6,5,tanh,0.001,0,True,5,100,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0,True,5,200,0.7755102040816326,0.9,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0,True,5,400,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
6,5,tanh,0.001,0,True,47,25,0.6122448979591837,0.9,0.5238095238095238,0.5555555555555556
6,5,tanh,0.001,0,True,47,50,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
6,5,tanh,0.001,0,True,47,100,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
6,5,tanh,0.001,0,True,47,200,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0,True,47,400,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0,False,1,25,0.7755102040816326,0.8,0.6190476190476191,0.9444444444444444
6,5,tanh,0.001,0,False,1,50,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0,False,1,100,0.7959183673469388,0.8,0.7142857142857143,0.8888888888888888
6,5,tanh,0.001,0,False,1,200,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
6,5,tanh,0.001,0,False,1,400,0.6938775510204082,0.5,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0,False,5,25,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
6,5,tanh,0.001,0,False,5,50,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
6,5,tanh,0.001,0,False,5,100,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0,False,5,200,0.7755102040816326,0.8,0.6190476190476191,0.9444444444444444
6,5,tanh,0.001,0,False,5,400,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0,False,47,25,0.5102040816326531,0.7,0.2857142857142857,0.6666666666666666
6,5,tanh,0.001,0,False,47,50,0.6326530612244898,0.8,0.2857142857142857,0.9444444444444444
6,5,tanh,0.001,0,False,47,100,0.7755102040816326,0.8,0.6190476190476191,0.9444444444444444
6,5,tanh,0.001,0,False,47,200,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0,False,47,400,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0.125,True,1,25,0.24489795918367346,0.5,0.19047619047619047,0.16666666666666666
6,5,tanh,0.001,0.125,True,1,50,0.3673469387755102,0.4,0.38095238095238093,0.3333333333333333
6,5,tanh,0.001,0.125,True,1,100,0.20408163265306123,0.0,0.38095238095238093,0.1111111111111111
6,5,tanh,0.001,0.125,True,1,200,0.30612244897959184,0.0,0.47619047619047616,0.2777777777777778
6,5,tanh,0.001,0.125,True,1,400,0.22448979591836735,0.0,0.047619047619047616,0.5555555555555556
6,5,tanh,0.001,0.125,True,5,25,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.125,True,5,50,0.7551020408163265,1.0,0.5238095238095238,0.8888888888888888
6,5,tanh,0.001,0.125,True,5,100,0.7142857142857143,0.8,0.5238095238095238,0.8888888888888888
6,5,tanh,0.001,0.125,True,5,200,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0.125,True,5,400,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.125,True,47,25,0.6530612244897959,0.8,0.5714285714285714,0.6666666666666666
6,5,tanh,0.001,0.125,True,47,50,0.7346938775510204,0.9,0.47619047619047616,0.9444444444444444
6,5,tanh,0.001,0.125,True,47,100,0.7142857142857143,0.9,0.47619047619047616,0.8888888888888888
6,5,tanh,0.001,0.125,True,47,200,0.6938775510204082,0.8,0.47619047619047616,0.8888888888888888
6,5,tanh,0.001,0.125,True,47,400,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.125,False,1,25,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.125,False,1,50,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0.125,False,1,100,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.125,False,1,200,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.125,False,1,400,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0.125,False,5,25,0.7755102040816326,0.9,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.125,False,5,50,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.125,False,5,100,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0.125,False,5,200,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.125,False,5,400,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0.125,False,47,25,0.673469387755102,0.1,0.7619047619047619,0.8888888888888888
6,5,tanh,0.001,0.125,False,47,50,0.673469387755102,1.0,0.3333333333333333,0.8888888888888888
6,5,tanh,0.001,0.125,False,47,100,0.7755102040816326,0.8,0.6190476190476191,0.9444444444444444
6,5,tanh,0.001,0.125,False,47,200,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
6,5,tanh,0.001,0.125,False,47,400,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.5,True,1,25,0.2857142857142857,0.1,0.5714285714285714,0.05555555555555555
6,5,tanh,0.001,0.5,True,1,50,0.14285714285714285,0.2,0.0,0.2777777777777778
6,5,tanh,0.001,0.5,True,1,100,0.2653061224489796,0.3,0.19047619047619047,0.3333333333333333
6,5,tanh,0.001,0.5,True,1,200,0.30612244897959184,0.5,0.2857142857142857,0.2222222222222222
6,5,tanh,0.001,0.5,True,1,400,0.10204081632653061,0.4,0.0,0.05555555555555555
6,5,tanh,0.001,0.5,True,5,25,0.6326530612244898,0.5,0.47619047619047616,0.8888888888888888
6,5,tanh,0.001,0.5,True,5,50,0.6326530612244898,0.9,0.23809523809523808,0.9444444444444444
6,5,tanh,0.001,0.5,True,5,100,0.6326530612244898,0.9,0.23809523809523808,0.9444444444444444
6,5,tanh,0.001,0.5,True,5,200,0.6530612244897959,0.9,0.2857142857142857,0.9444444444444444
6,5,tanh,0.001,0.5,True,5,400,0.6938775510204082,0.8,0.47619047619047616,0.8888888888888888
6,5,tanh,0.001,0.5,True,47,25,0.4489795918367347,0.3,0.23809523809523808,0.7777777777777778
6,5,tanh,0.001,0.5,True,47,50,0.5510204081632653,0.8,0.47619047619047616,0.5
6,5,tanh,0.001,0.5,True,47,100,0.6530612244897959,0.9,0.2857142857142857,0.9444444444444444
6,5,tanh,0.001,0.5,True,47,200,0.7142857142857143,0.8,0.47619047619047616,0.9444444444444444
6,5,tanh,0.001,0.5,True,47,400,0.6530612244897959,0.7,0.38095238095238093,0.9444444444444444
6,5,tanh,0.001,0.5,False,1,25,0.673469387755102,0.8,0.3333333333333333,1.0
6,5,tanh,0.001,0.5,False,1,50,0.7755102040816326,0.8,0.6190476190476191,0.9444444444444444
6,5,tanh,0.001,0.5,False,1,100,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
6,5,tanh,0.001,0.5,False,1,200,0.6938775510204082,0.7,0.47619047619047616,0.9444444444444444
6,5,tanh,0.001,0.5,False,1,400,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.5,False,5,25,0.7142857142857143,0.8,0.42857142857142855,1.0
6,5,tanh,0.001,0.5,False,5,50,0.673469387755102,1.0,0.2857142857142857,0.9444444444444444
6,5,tanh,0.001,0.5,False,5,100,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.5,False,5,200,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.001,0.5,False,5,400,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.001,0.5,False,47,25,0.4489795918367347,0.5,0.42857142857142855,0.4444444444444444
6,5,tanh,0.001,0.5,False,47,50,0.5510204081632653,0.4,0.5238095238095238,0.6666666666666666
6,5,tanh,0.001,0.5,False,47,100,0.6530612244897959,0.8,0.38095238095238093,0.8888888888888888
6,5,tanh,0.001,0.5,False,47,200,0.673469387755102,0.8,0.38095238095238093,0.9444444444444444
6,5,tanh,0.001,0.5,False,47,400,0.6938775510204082,0.8,0.42857142857142855,0.9444444444444444
6,5,tanh,0.01,0,True,1,25,0.061224489795918366,0.0,0.047619047619047616,0.1111111111111111
6,5,tanh,0.01,0,True,1,50,0.5306122448979592,0.9,0.14285714285714285,0.7777777777777778
6,5,tanh,0.01,0,True,1,100,0.2857142857142857,0.4,0.42857142857142855,0.05555555555555555
6,5,tanh,0.01,0,True,1,200,0.3469387755102041,1.0,0.23809523809523808,0.1111111111111111
6,5,tanh,0.01,0,True,1,400,0.14285714285714285,0.0,0.3333333333333333,0.0
6,5,tanh,0.01,0,True,5,25,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
6,5,tanh,0.01,0,True,5,50,0.7959183673469388,0.9,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0,True,5,100,0.8367346938775511,0.8,0.8095238095238095,0.8888888888888888
6,5,tanh,0.01,0,True,5,200,0.7142857142857143,0.8,0.5238095238095238,0.8888888888888888
6,5,tanh,0.01,0,True,5,400,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.01,0,True,47,25,0.7346938775510204,0.3,0.8095238095238095,0.8888888888888888
6,5,tanh,0.01,0,True,47,50,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0,True,47,100,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0,True,47,200,0.7551020408163265,0.7,0.6190476190476191,0.9444444444444444
6,5,tanh,0.01,0,True,47,400,0.7551020408163265,0.7,0.7142857142857143,0.8333333333333334
6,5,tanh,0.01,0,False,1,25,0.7346938775510204,0.9,0.5238095238095238,0.8888888888888888
6,5,tanh,0.01,0,False,1,50,0.7755102040816326,0.5,0.8095238095238095,0.8888888888888888
6,5,tanh,0.01,0,False,1,100,0.7551020408163265,0.7,0.6190476190476191,0.9444444444444444
6,5,tanh,0.01,0,False,1,200,0.673469387755102,0.8,0.47619047619047616,0.8333333333333334
6,5,tanh,0.01,0,False,1,400,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
6,5,tanh,0.01,0,False,5,25,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0,False,5,50,0.8367346938775511,0.9,0.7142857142857143,0.9444444444444444
6,5,tanh,0.01,0,False,5,100,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0,False,5,200,0.7142857142857143,0.5,0.7142857142857143,0.8333333333333334
6,5,tanh,0.01,0,False,5,400,0.7551020408163265,0.6,0.6666666666666666,0.9444444444444444
6,5,tanh,0.01,0,False,47,25,0.7755102040816326,0.8,0.6190476190476191,0.9444444444444444
6,5,tanh,0.01,0,False,47,50,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
6,5,tanh,0.01,0,False,47,100,0.7959183673469388,0.8,0.7142857142857143,0.8888888888888888
6,5,tanh,0.01,0,False,47,200,0.8163265306122449,0.8,0.7142857142857143,0.9444444444444444
6,5,tanh,0.01,0,False,47,400,0.673469387755102,0.3,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0.125,True,1,25,0.2653061224489796,0.3,0.0,0.5555555555555556
6,5,tanh,0.01,0.125,True,1,50,0.16326530612244897,0.2,0.14285714285714285,0.16666666666666666
6,5,tanh,0.01,0.125,True,1,100,0.1836734693877551,0.1,0.09523809523809523,0.3333333333333333
6,5,tanh,0.01,0.125,True,1,200,0.24489795918367346,0.4,0.14285714285714285,0.2777777777777778
6,5,tanh,0.01,0.125,True,1,400,0.20408163265306123,0.2,0.2857142857142857,0.1111111111111111
6,5,tanh,0.01,0.125,True,5,25,0.7755102040816326,1.0,0.5714285714285714,0.8888888888888888
6,5,tanh,0.01,0.125,True,5,50,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
6,5,tanh,0.01,0.125,True,5,100,0.7142857142857143,0.6,0.6190476190476191,0.8888888888888888
6,5,tanh,0.01,0.125,True,5,200,0.8367346938775511,0.9,0.7619047619047619,0.8888888888888888
6,5,tanh,0.01,0.125,True,5,400,0.7551020408163265,0.5,0.7619047619047619,0.8888888888888888
6,5,tanh,0.01,0.125,True,47,25,0.7142857142857143,0.8,0.5238095238095238,0.8888888888888888
6,5,tanh,0.01,0.125,True,47,50,0.7755102040816326,0.4,0.8571428571428571,0.8888888888888888
6,5,tanh,0.01,0.125,True,47,100,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
6,5,tanh,0.01,0.125,True,47,200,0.7959183673469388,0.8,0.7142857142857143,0.8888888888888888
6,5,tanh,0.01,0.125,True,47,400,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0.125,False,1,25,0.7142857142857143,1.0,0.42857142857142855,0.8888888888888888
6,5,tanh,0.01,0.125,False,1,50,0.8163265306122449,0.9,0.7142857142857143,0.8888888888888888
6,5,tanh,0.01,0.125,False,1,100,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.01,0.125,False,1,200,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0.125,False,1,400,0.7959183673469388,0.8,0.7142857142857143,0.8888888888888888
6,5,tanh,0.01,0.125,False,5,25,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
6,5,tanh,0.01,0.125,False,5,50,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0.125,False,5,100,0.7959183673469388,0.9,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0.125,False,5,200,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.01,0.125,False,5,400,0.7959183673469388,0.7,0.7619047619047619,0.8888888888888888
6,5,tanh,0.01,0.125,False,47,25,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
6,5,tanh,0.01,0.125,False,47,50,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
6,5,tanh,0.01,0.125,False,47,100,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0.125,False,47,200,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
6,5,tanh,0.01,0.125,False,47,400,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
6,5,tanh,0.01,0.5,True,1,25,0.2653061224489796,0.1,0.5714285714285714,0.0
6,5,tanh,0.01,0.5,True,1,50,0.3673469387755102,0.0,0.38095238095238093,0.5555555555555556
6,5,tanh,0.01,0.5,True,1,100,0.2857142857142857,0.6,0.2857142857142857,0.1111111111111111
6,5,tanh,0.01,0.5,True,1,200,0.22448979591836735,0.0,0.3333333333333333,0.2222222222222222
6,5,tanh,0.01,0.5,True,1,400,0.40816326530612246,0.1,0.38095238095238093,0.6111111111111112
6,5,tanh,0.01,0.5,True,5,25,0.6938775510204082,0.5,0.5714285714285714,0.9444444444444444
6,5,tanh,0.01,0.5,True,5,50,0.673469387755102,0.9,0.3333333333333333,0.9444444444444444
6,5,tanh,0.01,0.5,True,5,100,0.673469387755102,1.0,0.3333333333333333,0.8888888888888888
6,5,tanh,0.01,0.5,True,5,200,0.6530612244897959,0.9,0.3333333333333333,0.8888888888888888
6,5,tanh,0.01,0.5,True,5,400,0.7346938775510204,0.9,0.5238095238095238,0.8888888888888888
6,5,tanh,0.01,0.5,True,47,25,0.7142857142857143,0.9,0.38095238095238093,1.0
6,5,tanh,0.01,0.5,True,47,50,0.6938775510204082,0.9,0.42857142857142855,0.8888888888888888
6,5,tanh,0.01,0.5,True,47,100,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
6,5,tanh,0.01,0.5,True,47,200,0.7346938775510204,0.7,0.5714285714285714,0.9444444444444444
6,5,tanh,0.01,0.5,True,47,400,0.7142857142857143,0.5,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0.5,False,1,25,0.5714285714285714,0.9,0.14285714285714285,0.8888888888888888
6,5,tanh,0.01,0.5,False,1,50,0.6122448979591837,1.0,0.19047619047619047,0.8888888888888888
6,5,tanh,0.01,0.5,False,1,100,0.7346938775510204,0.9,0.5238095238095238,0.8888888888888888
6,5,tanh,0.01,0.5,False,1,200,0.5714285714285714,1.0,0.09523809523809523,0.8888888888888888
6,5,tanh,0.01,0.5,False,1,400,0.673469387755102,0.9,0.38095238095238093,0.8888888888888888
6,5,tanh,0.01,0.5,False,5,25,0.5918367346938775,0.9,0.14285714285714285,0.9444444444444444
6,5,tanh,0.01,0.5,False,5,50,0.6530612244897959,0.9,0.3333333333333333,0.8888888888888888
6,5,tanh,0.01,0.5,False,5,100,0.6938775510204082,0.0,0.8571428571428571,0.8888888888888888
6,5,tanh,0.01,0.5,False,5,200,0.6938775510204082,0.7,0.5238095238095238,0.8888888888888888
6,5,tanh,0.01,0.5,False,5,400,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
6,5,tanh,0.01,0.5,False,47,25,0.6938775510204082,0.7,0.47619047619047616,0.9444444444444444
6,5,tanh,0.01,0.5,False,47,50,0.7551020408163265,0.8,0.5714285714285714,0.9444444444444444
6,5,tanh,0.01,0.5,False,47,100,0.7142857142857143,0.5,0.6666666666666666,0.8888888888888888
